ColorCode,Color,Linetype,Type,DESCRIPTION_86,DESCRIPTION_31,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_49,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_34,DESCRIPTION_90,DESCRIPTION_48
121,0,0,0,黑30,Zwart30,Black30,Noir30,Schwarz30,Nero30,ブラック30,Negro30,Черный30,Negro30,Siyah30,Czarny30
122,0,0,0,黑31,Zwart31,Black31,Noir31,Schwarz31,Nero31,ブラック31,Negro31,Черный31,Negro31,Siyah31,Czarny31
123,0,0,0,黑32,Zwart32,Black32,Noir32,Schwarz32,Nero32,ブラック32,Negro32,Черный32,Negro32,Siyah32,Czarny32
124,0,0,0,黑33,Zwart33,Black33,Noir33,Schwarz33,Nero33,ブラック33,Negro33,Черный33,Negro33,Siyah33,Czarny33
125,0,0,0,黑34,Zwart34,Black34,Noir34,Schwarz34,Nero34,ブラック34,Negro34,Черный34,Negro34,Siyah34,Czarny34
126,0,0,0,黑35,Zwart35,Black35,Noir35,Schwarz35,Nero35,ブラック35,Negro35,Черный35,Negro35,Siyah35,Czarny35
127,0,0,0,黑36,Zwart36,Black36,Noir36,Schwarz36,Nero36,ブラック36,Negro36,Черный36,Negro36,Siyah36,Czarny36
128,0,0,0,黑37,Zwart37,Black37,Noir37,Schwarz37,Nero37,ブラック37,Negro37,Черный37,Negro37,Siyah37,Czarny37
129,0,0,0,黑38,Zwart38,Black38,Noir38,Schwarz38,Nero38,ブラック38,Negro38,Черный38,Negro38,Siyah38,Czarny38
130,0,0,0,黑39,Zwart39,Black39,Noir39,Schwarz39,Nero39,ブラック39,Negro39,Черный39,Negro39,Siyah39,Czarny39
131,0,0,0,黑40,Zwart40,Black40,Noir40,Schwarz40,Nero40,ブラック40,Negro40,Черный40,Negro40,Siyah40,Czarny40
132,0,0,0,黑41,Zwart41,Black41,Noir41,Schwarz41,Nero41,ブラック41,Negro41,Черный41,Negro41,Siyah41,Czarny41
133,0,0,0,黑42,Zwart42,Black42,Noir42,Schwarz42,Nero42,ブラック42,Negro42,Черный42,Negro42,Siyah42,Czarny42
134,0,0,0,黑43,Zwart43,Black43,Noir43,Schwarz43,Nero43,ブラック43,Negro43,Черный43,Negro43,Siyah43,Czarny43
135,0,0,0,黑44,Zwart44,Black44,Noir44,Schwarz44,Nero44,ブラック44,Negro44,Черный44,Negro44,Siyah44,Czarny44
136,0,0,0,黑45,Zwart45,Black45,Noir45,Schwarz45,Nero45,ブラック45,Negro45,Черный45,Negro45,Siyah45,Czarny45
137,0,0,0,黑46,Zwart46,Black46,Noir46,Schwarz46,Nero46,ブラック46,Negro46,Черный46,Negro46,Siyah46,Czarny46
138,0,0,0,黑47,Zwart47,Black47,Noir47,Schwarz47,Nero47,ブラック47,Negro47,Черный47,Negro47,Siyah47,Czarny47
