Color,ColorCode,Linetype,Type,DESCRIPTION_34,DESCRIPTION_86,DESCRIPTION_49,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_31,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_90,DESCRIPTION_48
0,130,0,0,Negro39,黑39,Schwarz39,Black39,Noir39,Nero39,ブラック39,Zwart39,Negro39,Черный39,Siyah39,Czarny39
0,131,0,0,Negro40,黑40,Schwarz40,Black40,Noir40,Nero40,ブラック40,Zwart40,Negro40,Черный40,Siyah40,Czarny40
0,132,0,0,Negro41,黑41,Schwarz41,Black41,Noir41,Nero41,ブラック41,Zwart41,Negro41,Черный41,Siyah41,Czarny41
0,133,0,0,Negro42,黑42,Schwarz42,Black42,Noir42,Nero42,ブラック42,Zwart42,Negro42,Черный42,Siyah42,Czarny42
0,134,0,0,Negro43,黑43,Schwarz43,Black43,Noir43,Nero43,ブラック43,Zwart43,Negro43,Черный43,Siyah43,Czarny43
0,135,0,0,Negro44,黑44,Schwarz44,Black44,Noir44,Nero44,ブラック44,Zwart44,Negro44,Черный44,Siyah44,Czarny44
0,136,0,0,Negro45,黑45,Schwarz45,Black45,Noir45,Nero45,ブラック45,Zwart45,Negro45,Черный45,Siyah45,Czarny45
0,137,0,0,Negro46,黑46,Schwarz46,Black46,Noir46,Nero46,ブラック46,Zwart46,Negro46,Черный46,Siyah46,Czarny46
0,138,0,0,Negro47,黑47,Schwarz47,Black47,Noir47,Nero47,ブラック47,Zwart47,Negro47,Черный47,Siyah47,Czarny47
0,139,0,0,Negro48,黑48,Schwarz48,Black48,Noir48,Nero48,ブラック48,Zwart48,Negro48,Черный48,Siyah48,Czarny48
0,140,0,0,Negro49,黑49,Schwarz49,Black49,Noir49,Nero49,ブラック49,Zwart49,Negro49,Черный49,Siyah49,Czarny49
0,141,0,0,Negro50,黑50,Schwarz50,Black50,Noir50,Nero50,ブラック50,Zwart50,Negro50,Черный50,Siyah50,Czarny50
0,142,0,0,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1
0,143,0,0,V2,V2,V2,V2,V2,V2,V2,V2,V2,V2,V2,V2
0,144,0,0,W3,W3,W3,W3,W3,W3,W3,W3,W3,W3,W3,W3
0,145,0,0,Marrón1,棕1,Braun1,Brown1,Brun1,Marrone1,ブラウン1,Bruin1,Castanho1,Коричневый1,Kahverengi1,Brązowy1
0,146,0,0,Marrón2,棕2,Braun2,Brown2,Brun2,Marrone2,ブラウン2,Bruin2,Castanho2,Коричневый2,Kahverengi2,Brązowy2
0,147,0,0,BlancoMarrónNegro,白棕黑,WeissBraunSchwarz,WhiteBrownBlack,BlancBrunNoir,BiancoMarroneNero,ホワイトブラウンブラック,WitBruinZwart,BrancoCastanhoNegro,БелыйКоричневыйЧерный,BeyazKahverengiSiyah,BiałoBrązowoCzarny
0,148,0,0,AmarilloVerdeNegro,黄绿黑,GelbGrünSchwarz,YellowGreenBlack,JauneVertNoir,GialloVerdeNero,イエローグリーンブラック,GeelGroenZwart,AmareloVerdeNegro,ЖелтыйЗеленыйЧерный,SarıYeşilSiyah,ŻółtoZielonoCzarny
0,149,0,0,GrisRosaNegro,灰粉黑,GrauRosaSchwarz,GreyPinkBlack,GrisRoseNoir,BigioRosaNero,グレーピンクブラック,GrijsRoseZwart,PardoRosaNegro,СерыйРозовыйЧерный,GriPembeSiyah,SzaroRóżowoCzarny
0,150,0,0,RojoAzulNegro,红蓝黑,RotBlauSchwarz,RedBlueBlack,RougeBleuNoir,GrigioRosaNero,レッドブルーブラック,RoodBlauwZwart,VermelhoAzulNegro,КрасныйСинийЧерный,KırmızıMaviSiyah,CzerwonoNiebieskoCzarny
0,151,0,0,BlancoVerdeNegro,白绿黑,WeissGrünSchwarz,WhiteGreenBlack,BlancVertNoir,RossoAzzurroNero,ホワイトグリーンブラック,WitGroenZwart,BrancoVerdeNegro,БелыйЗеленыйЧерный,BeyazYeşilSiyah,BiałoZielonoCzarny
0,152,0,0,MarrónVerdeNegro,棕绿黑,BraunGrünSchwarz,BrownGreenBlack,BrunVertNoir,MarroneVerdeNero,ブラウングリーンブラック,BlauwGroenZwart,CastanhoVerdeNegro,КоричневыйЗеленыйЧерный,KahverengiYeşilSiyah,BrązowoZielonoCzarny
0,153,0,0,BlancoAmarilloNegro,白黄黑,WeissGelbSchwarz,WhiteYellowBlack,BlancJauneNoir,BiancoGialloNero,ホワイトイエローブラック,WitGeelZwart,BrancoAmareloNegro,БелыйЖелтыйЧерный,BeyazSarıSiyah,BiałoŻółtoCzarny
